last_name, first_name,woba,xwoba,diff
Maile, Luke,0.194,0.259,-0.065
Holaday, Bryan,0.326,0.282,0.044
Lopes, Tim,0.318,0.29,0.028
Straw, Myles,0.323,0.321,0.002
Rogers, Jake,0.216,0.204,0.012
Trevino, Jose,0.274,0.266,0.008
Quinn, Roman,0.289,0.293,-0.004
Herrera, Rosell,0.264,0.261,0.003
Duda, Lucas,0.245,0.311,-0.066
Williams, Nick,0.193,0.265,-0.072
Dubon, Mauricio,0.313,0.277,0.036
Castro, Willi,0.27,0.246,0.024
Martini, Nick,0.291,0.296,-0.005
Wade, Tyler,0.303,0.285,0.018
Peterson, Jace,0.258,0.284,-0.026
Cozart, Zack,0.15,0.246,-0.096
Daza, Yonathan,0.221,0.23,-0.009
McGuire, Reese,0.364,0.309,0.055
Collins, Zack,0.285,0.317,-0.032
Spangenberg, Cory,0.267,0.244,0.023
Gyorko, Jedd,0.224,0.267,-0.043
Garneau, Dustin,0.33,0.306,0.024
